,,,,,,,,,,,Demographic,,,,Clinical,,,,,,,
CovidenceID,PMID,Study ID,Title,publication.year,Study.location.1,Study.location.2,Number.of.samples.sequenced,Repository,Sequence.IDs.reported,SequenceID.article.location,Age,Gender,Race.Ethnicity.Nationality,demographic.article.location,Comorbilities,Inpatient/Outpatient,Outcomes,Severity,Signs/Symptoms,Treatment,Vaccination status,clinical.article.location
3439,36911398,KohLCW 2023,Sub genomic analysis of SARS-CoV-2 using short read amplicon-based sequencing.,2023, Singapore,,53,figshare,No,,No,No,No,,No,Yes,No,No,No,No,No,Text
3428,36934018,Chen 2023,Factors associated with viral rebound among COVID-19 patients receiving oral antivirals.,2023, Taiwan,,4,GISAID,Yes,Supplemental materials,Yes,Yes,No,Table,Yes,Yes,No,Yes,Yes,Yes,Yes,Text; table
3418,36888766,Campos 2023,"Genomic monitoring unveils a high prevalence of severe acute respiratory syndrome coronavirus 2 Omicron variant in vaccine breakthrough cases in Bahia, Brazil.",2023,Brazil,,29,GISAID,Yes,Text,Yes,Yes,No,Table,Yes,Yes,No,No,Yes,No,Yes,Text; table; Figure
3415,36875934,Jubair 2023,SARS-CoV-2 Omicron variants in Bangladesh: Pandemic to endemic.,2023, Bangladesh,,575,GISAID,No,,Yes,Yes,No,Text; Table,Yes,Yes,Yes,Yes,Yes,No,Yes,table
3403,36860855,Albreiki 2023,Risk of hospitalization and vaccine effectiveness among COVID-19 patients in the UAE during the Delta and Omicron outbreaks.,2023, Dubai, Northern Emirates,4618,GISAID,Yes,Text,Yes,Yes,Yes,Text; Table,No,Yes,No,No,No,No,Yes,Text; table; Supplemental
3398,36851541,Assato 2023,"Retrospective Insights of the COVID-19 Epidemic in the Major Latin American City, São Paulo, Southeastern Brazil.",2023,Brazil,,9995,GISAID,Yes,Supplemental materials,Yes,Yes,No,Supplemental,No,No,No,No,No,No,No,
3393,36851622,Veneziano 2023,The Spread of SARS-CoV-2 Omicron Variant in CALABRIA: A Spatio-Temporal Report of Viral Genome Evolution.,2023, Italy,,272,GenBank,Yes,Text; Supplemental materials,Yes,Yes,No,Supplemental,No,No,No,No,No,No,No,
3389,36851588,Villaseñor-Echavarri 2023,SARS-CoV-2 Genome Variations in Viral Shedding of an Immunocompromised Patient with Non-Hodgkin's Lymphoma.,2024, Mexico,,5,GISAID,No,,Yes,Yes,No,Text,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Text
3385,36851491,Rocchigiani 2023,"Origin, Genetic Variation and Molecular Epidemiology of SARS-CoV-2 Strains Circulating in Sardinia (Italy) during the First and Second COVID-19 Epidemic Waves.",2023, Italy,,55,GISAID,Yes,Table,Yes,Yes,No,Table,No,No,No,No,No,No,No,
3383,36841870,Hirotsu 2023,Lung tropism in hospitalized patients following infection with SARS-CoV-2 variants from D614G to Omicron BA.2.,2023, Japan,,514,GISAID,No,,Yes,Yes,No,Text; Supplemental,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Supplemental
